sample	MAG quality	CheckM2 - completeness	CheckM2 - contamination	N50 (abyss-fac)	Genome Size	Distinct tRNAs	Distinct rRNAs (max 3)	Potentially Novel Species	Potentially Novel and Not Matching SMGC or EPIC isolate	Matches EPIC isolate at >95.0% ANI and >20% Proportion Fragments Aligned	Matches SMGC at >95.0% ANI and >20% Proportion Fragments Aligned	GTDB R202	closest SMGC hit	closest SMGC hit - ANI	closest SMGC hit - Proportion Fragments Aligned	closest EPIC isolate hit	closest EPIC isolate hit - ANI	closest EPIC isolate hit - Proportion Fragments Aligned
LKMB002-2-002_S161_bin.4	medium	80.83	0.39	10806	4299194	14	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Millisia;s__	SMGC_195	77.7036	0.21043627031650983	LK1054	77.483	0.2275449101796407
LKMB002-2-005_S164_bin.4	medium	96.05	0.5	19503	2188960	17	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pseudodiphtheriticum	SMGC_87	98.2542	0.958204334365325	LK466	97.9084	0.9473684210526315
LKMB002-2-008_S99_bin.3	medium	100.0	0.76	29992	4750188	20	1	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium carotovorum	SMGC_289	78.5202	0.2578875171467764	LK494	78.4013	0.21262002743484226
LKMB002-2-009_S100_bin.2	medium	85.57	0.0	25035	3377168	20	0	True	True	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__	SMGC_65	81.8643	0.5096525096525096	LK527	78.1752	0.26640926640926643
LKMB002-2-010_S101_bin.5	medium	93.96	0.08	91687	1942307	11	0	True	True	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	SMGC_363	83.928	0.4050632911392405	NA	0.0	0.0
LKMB002-2-010_S101_bin.7	medium	99.38	1.23	117667	2316868	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia radingae_A	SMGC_165	98.246	0.6693121693121693	NA	0.0	0.0
LKMB002-2-011_S102_bin.4	high	99.98	0.03	166617	2439591	23	3	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_90	94.9102	0.88625	LK1289	89.9027	0.85125
LKMB002-2-016_S107_bin.4	low	81.14	1.49	3295	1906325	17	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__Moraxella_A sp002478835	SMGC_170	95.4627	0.9432624113475178	NA	0.0	0.0
LKMB002-2-018_S109_bin.10	low	89.1	1.28	8501	1820248	8	0	True	True	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__	SMGC_306	76.5151	0.22294372294372294	NA	0.0	0.0
LKMB002-2-018_S109_bin.11	medium	99.95	0.69	64118	3714506	24	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium casei	SMGC_303	98.2602	0.5158862876254181	LK1027	99.9266	0.9280936454849499
LKMB002-2-018_S109_bin.12	medium	100.0	0.0	118791	2132605	22	2	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__Moraxella_A atlantae	SMGC_265	77.513	0.22141823444283648	NA	0.0	0.0
LKMB002-2-018_S109_bin.14	medium	94.08	1.59	38269	2130884	17	0	True	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_7	97.1481	0.8937784522003035	LK1358	97.3143	0.9423368740515933
LKMB002-2-018_S109_bin.15	medium	99.93	0.02	104214	2410707	22	2	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__	SMGC_16	79.6024	0.5392535392535392	NA	0.0	0.0
LKMB002-2-018_S109_bin.2	medium	99.99	0.37	39770	6647527	22	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	SMGC_118	99.2715	0.8994225216554379	NA	0.0	0.0
LKMB002-2-018_S109_bin.4	low	89.78	0.3	7964	2528194	17	2	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium freneyi	SMGC_93	96.7009	0.9044585987261147	LK444	78.7485	0.27388535031847133
LKMB002-2-018_S109_bin.7	medium	94.42	0.72	10197	1526817	21	0	False	False	False	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia;s__Facklamia languida	SMGC_25	98.1276	0.7161458333333334	NA	0.0	0.0
LKMB002-2-018_S109_bin.9	high	99.26	0.04	285809	2083944	22	3	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionimicrobium;s__	SMGC_274	99.2676	0.9421128798842258	NA	0.0	0.0
LKMB002-2-034_S125_bin.1	medium	99.37	0.06	12830	1601889	22	0	False	False	False	False	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B ureolyticus	SMGC_48	94.7368	0.5779816513761468	NA	0.0	0.0
LKMB002-2-034_S125_bin.11	medium	99.89	0.26	69048	2066810	22	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter;s__Pseudoclavibacter alba	SMGC_40	97.7235	0.9182763744427934	LK1279	98.6202	0.8811292719167905
LKMB002-2-034_S125_bin.6	medium	96.98	0.21	64746	1767762	21	1	True	True	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	SMGC_363	92.7913	0.552212389380531	NA	0.0	0.0
LKMB002-2-044_S135_bin.4	medium	98.97	0.06	188904	2293866	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium afermentans	SMGC_56	98.1916	0.899070385126162	LK930	85.0909	0.7529880478087649
LKMB002-2-046_S137_bin.3	medium	98.77	0.26	134024	2150754	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium granulosum	SMGC_143	97.1201	0.9318181818181818	LK953	80.1106	0.4247159090909091
LKMB002-2-047_S138_bin.1	medium	99.92	0.18	190316	2507655	24	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium propinquum	SMGC_86	97.3434	0.9453883495145631	LK561	97.6001	0.9138349514563107
LKMB002-2-047_S138_bin.3	medium	99.01	0.62	58681	1851957	13	0	False	False	False	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum;s__Dolosigranulum pigrum	SMGC_606	97.5214	0.8887015177065767	NA	0.0	0.0
LKMB002-2-052_S143_bin.12	low	72.81	3.05	6117	1516045	15	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	SMGC_124	92.2686	0.9141104294478528	NA	0.0	0.0
LKMB002-2-052_S143_bin.13	medium	99.9	0.17	87400	2263417	20	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_75	95.0116	0.9151846785225718	LK930	85.0978	0.7674418604651163
LKMB002-2-052_S143_bin.17	medium	99.53	0.2	44664	1957451	22	3	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp900541275	SMGC_167	98.2003	0.6042003231017771	NA	0.0	0.0
LKMB002-2-052_S143_bin.2	medium	99.99	0.2	29916	1950235	13	0	False	False	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna_H	SMGC_622	96.7511	0.04054054054054054	NA	0.0	0.0
LKMB002-2-052_S143_bin.3	medium	99.99	0.85	96706	2603493	20	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_177	98.5197	0.8411764705882353	LK488	86.6792	0.7764705882352941
LKMB002-2-054_S145_bin.6	medium	86.45	0.53	11227	3068275	20	0	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus aeridis	SMGC_297	87.777	0.3621951219512195	NA	0.0	0.0
LKMB002-2-057_S148_bin.1	low	84.76	0.38	6952	1505415	18	0	False	False	False	True	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__28L;s__28L sp000177555	SMGC_517	99.037	0.8424068767908309	NA	0.0	0.0
LKMB002-2-057_S148_bin.2	low	95.49	0.83	8936	1306989	15	0	False	False	False	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners	SMGC_389	98.1689	0.6412698412698413	NA	0.0	0.0
LKMB002-2-057_S148_bin.4	medium	99.67	0.0	18507	3523851	21	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus marcusii	SMGC_37	97.9235	0.7677543186180422	NA	0.0	0.0
LKMB002-2-057_S148_bin.5	medium	98.78	0.42	40914	1491339	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae	SMGC_602	96.6015	0.8474945533769063	NA	0.0	0.0
LKMB002-2-057_S148_bin.7	medium	98.84	0.39	47599	1538847	22	2	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_G	SMGC_428	95.9384	0.8895966029723992	NA	0.0	0.0
LKMB002-2-058_S149_bin.10	medium	99.46	0.15	19677	2016361	13	2	False	False	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna	SMGC_622	96.0225	0.037996545768566495	NA	0.0	0.0
LKMB002-2-060_S151_bin.2	medium	100.0	0.01	57952	4981772	22	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris	SMGC_506	99.9651	0.990530303030303	NA	0.0	0.0
LKMB002-2-069_S176_bin.4	medium	99.98	0.05	43844	2350013	22	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_84	99.2751	0.9742198100407056	LK948	94.3858	0.9063772048846676
LKMB002-2-070_S177_bin.2	medium	100.0	0.0	249661	1295484	22	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	SMGC_219	99.5626	0.9695550351288056	NA	0.0	0.0
LKMB002-2-075_S182_bin.3	low	79.2	1.69	3836	3133447	14	0	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas hankookensis	SMGC_524	80.2142	0.40711462450592883	NA	0.0	0.0
LKMB002-2-075_S182_bin.4	low	79.61	0.86	3284	1839067	16	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__Moraxella_A osloensis	SMGC_265	95.5866	0.9266409266409267	NA	0.0	0.0
LKMB002-2-075_S182_bin.6	low	89.08	1.51	4835	3135849	23	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium paraconglomeratum	SMGC_314	96.7612	0.797077922077922	LK938	98.0295	0.8782467532467533
LKMB002-2-084_S191_bin.2	medium	100.0	0.05	65333	2226474	22	1	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa	SMGC_539	98.7638	0.9078212290502793	NA	0.0	0.0
LKMB002-2-088_S195_bin.2	medium	99.98	0.54	718298	2590787	22	2	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium humerusii	SMGC_28	99.6968	0.9660818713450292	LK953	81.3214	0.6198830409356725
LKMB002-2-090_S197_bin.3	medium	95.79	0.13	15705	2107210	17	0	False	False	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium jeddahense	SMGC_271	84.9145	0.7960848287112561	LK930	83.6225	0.7699836867862969
LKMB002-2-092_S199_bin.10	low	77.93	0.54	4171	1708933	14	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__Moraxella_A osloensis	SMGC_265	96.448	0.9093959731543624	NA	0.0	0.0
LKMB002-2-092_S199_bin.6	medium	92.82	3.25	12799	2136708	21	2	True	True	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_B;s__	SMGC_480	79.7833	0.46059544658493873	NA	0.0	0.0
LKMB002-2-092_S199_bin.7	low	86.96	1.2	5669	2788747	19	3	True	True	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__	SMGC_411	78.9508	0.4755700325732899	NA	0.0	0.0
LKMB002-2-092_S199_bin.9	low	86.46	1.32	6610	2540669	20	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus sphaerophysae	SMGC_64	97.8058	0.940032414910859	NA	0.0	0.0
LKMB002-4-03_S171_bin.1	medium	99.95	0.35	64382	4489522	21	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Methyloversatilis;s__Methyloversatilis discipulorum_A	SMGC_158	97.6521	0.8299930891499654	NA	0.0	0.0
LKMB002-4-03_S171_bin.2	medium	99.83	0.15	34583	4254598	22	0	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylopilaceae;g__Hansschlegelia;s__Hansschlegelia sp003241695	SMGC_250	77.7376	0.25455927051671734	NA	0.0	0.0
LKMB002-4-03_S171_bin.3	medium	96.78	3.38	15622	6243093	23	2	True	True	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__	SMGC_594	77.7309	0.1603613777526821	NA	0.0	0.0
LKMB003-4_S299_bin.1	low	92.11	0.19	9128	1948392	22	2	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp003640335	SMGC_5	95.3944	0.8011811023622047	NA	0.0	0.0
LKMB003-4_S299_bin.2	low	84.11	3.04	8317	2013492	18	1	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__	SMGC_162	94.6083	0.5181451612903226	NA	0.0	0.0
LKMB003-6_S301_bin.4	medium	95.79	0.8	18252	3125207	22	0	False	False	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp002363255	SMGC_168	88.2471	0.530454042081949	NA	0.0	0.0
LKMB003-6_S301_bin.5	medium	99.18	2.84	45050	2716700	23	3	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila	SMGC_97	97.2001	0.9050410316529894	LK1021	97.5797	0.88042203985932
LKMB003-8_S303_bin.1	low	84.71	0.43	4049	2040058	18	1	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria mucosa_A	SMGC_544	92.0297	0.7492957746478873	NA	0.0	0.0
LKMN002-3-01_S204_bin.5	medium	99.96	0.54	16001	1055618	21	0	True	False	False	True	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__;s__	SMGC_615	99.7393	0.89	NA	0.0	0.0
LKMN002-3-03_S206_bin.6	low	86.38	3.7	3149	2597020	18	0	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia mirabilis	SMGC_416	94.901	0.3185595567867036	NA	0.0	0.0
LKMN002-3-04_S207_bin.2	low	85.76	4.9	4626	1738634	8	0	False	False	False	False	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	SMGC_121	89.1665	0.7844311377245509	NA	0.0	0.0
LKMN002-3-04_S207_bin.6	medium	99.93	0.2	191504	2730434	24	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria marina	SMGC_96	96.3626	0.9141583054626533	LK1250	98.7249	0.8851727982162765
LKMN002-3-04_S207_bin.8	medium	75.66	0.94	16438	1984115	18	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum_C	SMGC_77	96.6152	0.951048951048951	LK1134	78.9918	0.3548951048951049
LKMN002-3-05_S208_bin.5	medium	99.85	0.03	202103	2369150	23	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_276	99.9389	0.958656330749354	NA	0.0	0.0
LKMN002-3-06_S209_bin.3	medium	100.0	0.28	700454	2526282	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	SMGC_345	97.1045	0.9295942720763724	LK953	81.8892	0.6503579952267303
LKMN002-3-10_S213_bin.1	medium	99.91	0.03	37195	2427858	23	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_155	98.0611	0.9566360052562418	NA	0.0	0.0
LKMN002-3-12_S215_bin.2	medium	99.97	0.03	107597	2415309	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum_C	SMGC_90	96.4879	0.9271099744245525	LK1289	89.5293	0.8478260869565217
LKMN002-3-13_S216_bin.4	medium	99.98	0.09	103978	2219626	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium massiliense	SMGC_151	98.043	0.9502762430939227	LK948	78.8621	0.3356353591160221
LKMN002-3-13_S216_bin.7	medium	99.98	0.05	182064	2416462	10	1	False	False	True	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis	SMGC_20	96.591	0.9119496855345912	LK1255	98.8821	0.9408805031446541
LKMN002-3-16_S219_bin.4	high	99.99	0.11	219799	2443646	23	3	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium kefirresidentii	SMGC_343	98.62	0.9111389236545682	LK1134	98.1744	0.9361702127659575
LKMN002-3-21_S224_bin.4	medium	99.97	0.39	125327	2072117	21	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Winkia;s__Winkia sp002849225	SMGC_70	99.0234	0.9674074074074074	NA	0.0	0.0
LKMN002-3-27_S230_bin.3	low	86.3	5.33	5540	2919163	19	2	True	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__	SMGC_326	97.4948	0.8380952380952381	LK1085	97.4767	0.8396825396825397
LKMN002-3-27_S230_bin.4	low	76.89	1.26	4576	3144627	13	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus yeei	SMGC_528	98.3709	0.902027027027027	NA	0.0	0.0
LKMN002-3-27_S230_bin.5	medium	99.16	0.59	15781	3124510	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium sp005280295	SMGC_316	98.8431	0.8471264367816091	LK1027	80.4372	0.4747126436781609
LKMN002-3-30_S233_bin.2	medium	99.86	0.64	31682	1979446	23	1	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter;s__	SMGC_438	98.4836	0.9592833876221498	LK1257	86.2728	0.8843648208469055
LKMN002-3-33_S236_bin.1	medium	93.78	0.15	11162	2403528	23	1	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__	SMGC_469	97.2579	0.6681957186544343	LK467	85.5981	0.7125382262996942
LKMN002-3-37_S240_bin.2	medium	99.98	0.29	59836	2395082	22	0	False	False	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis_A	SMGC_178	96.7015	0.07712418300653595	LK434	92.3625	0.9032679738562092
LKMN002-3-37_S240_bin.3	medium	99.98	1.01	135027	2322529	23	0	True	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_277	95.8	0.5757575757575758	LK946	98.5634	0.9235836627140975
LKMN002-3-37_S240_bin.7	medium	95.25	0.9	20347	1620943	13	1	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus octavius	SMGC_30	98.7263	0.8870292887029289	NA	0.0	0.0
LKMN002-3-37_S240_bin.8	medium	98.84	0.42	42793	1923559	13	1	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus nagyae	SMGC_29	97.7855	0.44333333333333336	NA	0.0	0.0
LKMN002-3-42_S241_bin.1	medium	80.86	0.27	14847	2005757	15	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium namnetense	SMGC_36	98.3106	0.9500891265597148	LK953	81.0729	0.6666666666666666
LKMN002-3-44_S243_bin.1	low	75.76	1.46	4012	2521146	10	0	False	False	False	False	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus	SMGC_456	93.9844	0.5788288288288288	NA	0.0	0.0
LKMN002-3-44_S243_bin.11	medium	100.0	1.32	29502	3942651	23	0	False	False	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium oxydans	SMGC_207	82.6623	0.5398671096345515	LK1118	84.2626	0.6262458471760798
LKMN002-3-44_S243_bin.12	medium	99.99	0.27	48366	5775957	20	1	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E hunanensis	SMGC_133	90.1352	0.7943107221006565	NA	0.0	0.0
LKMN002-3-44_S243_bin.2	medium	99.87	0.2	45011	3114211	21	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp003938605	SMGC_255	96.1186	0.48512820512820515	NA	0.0	0.0
LKMN002-3-44_S243_bin.4	medium	99.98	1.22	10725	6208174	22	0	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis	SMGC_594	82.2119	0.2803398058252427	NA	0.0	0.0
LKMN002-3-44_S243_bin.5	medium	100.0	1.97	153759	5103510	22	0	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium spiritivorum	SMGC_397	98.4687	0.5913461538461539	NA	0.0	0.0
LKMN002-3-44_S243_bin.9	medium	100.0	0.42	62587	4481578	22	1	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp003248565	SMGC_592	96.007	0.8047419804741981	NA	0.0	0.0
LKMN002-3-45_S244_bin.4	medium	99.99	2.24	11082	4140052	19	2	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Atlantibacter;s__Atlantibacter hermannii	SMGC_335	80.5318	0.5468468468468468	LK591	80.5575	0.5423423423423424
