BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000235	BGC0000235	Streptomyces sp. W007 contig00151, whole genome shotgun sequence	T2PKS	PKSother	Streptomyces sp. W007	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000236	BGC0000236	Streptomyces murayamaensis putative vitamin B12-dependent ribonucleotide reductase gene, partial cds; putative arylamine N-acetyltransferase, putative hydrolase, putative transmembrane efflux protein, putative transcriptional regulator, putative ribonuclease HII, putative ATP-dependent DNA helicase, putative bifunctional enzyme deaminase/reductase, putative TetR/AcrR-family transcriptional regulator (kinR), KinU1 (kinU1), JadX-like protein (kinX), oxygenase-like protein (kinO1), anthrone oxidase-like protein (kinG), JadI cyclase-like protein (kinI), putative ketoacyl synthase (kinA), putative chain length determinant (kinB), putative acyl carrier protein (kinC), putative ketoreductase (kinE), cyclase/dehydratase-like protein (kinD), oxygenase reductase-like protein (kinOR), oxygenase-like protein (kinO2), LanU-like protein (kinU), putative integral membrane efflux protein (kinJ), JadM phosphopantetheinyl transferase-like protein (kinM), JadN decarboxylase-like protein (kinN), and SimX2-like protein (kinX2) genes, complete cds; and unknown genes	T2PKS	PKSother	Streptomyces murayamaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000237	BGC0000237	Streptomyces sanglieri strain AK 623 lactonamycin Z biosynthetic gene cluster, partial sequence	T2PKS	PKSother	Streptomyces sanglieri	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000238	BGC0000238	Streptomyces rishiriensis strain MJ773-88K4 tyrosinase, putative small membrane protein, acyl carrier protein, phosphatase/acyl transferase, N-acetyltransferase, hypothetical protein, and S-adenosylmethionine decarboxylase genes, complete cds; lactonamycin biosynthetic gene cluster, complete sequence; and putative IS1650 family transposase gene, complete cds	butyrolactone.T2PKS	Others	Streptomyces rishiriensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000239	BGC0000239	Streptomyces cyanogenus landomycin biosynthetic gene cluster, complete sequence	oligosaccharide.T2PKS	Others	Streptomyces cyanogenus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000240	BGC0000240	Salinispora pacifica strain DPJ-0016 lomaiviticin gene cluster, complete sequence	T2PKS	PKSother	Salinispora pacifica	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000241	BGC0000241	Salinispora tropica CNB-440, complete genome	T2PKS	PKSother	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000242	BGC0000242	Streptomyces tendae lysolipin biosynthesis gene cluster, strain Tu 4042	T2PKS	PKSother	Streptomyces tendae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000243	BGC0000243	Streptomyces griseus subsp. griseus macrotetrolide biosynthesis gene cluster, upstream region		Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000244	BGC0000244	Streptomyces griseus subsp. griseus macrotetrolide biosynthesis gene cluster, downstream region		Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000245	BGC0000245	Streptomyces sp. AM-7161 medermycin biosynthetic gene cluster (med-ORF1 - 30) and ORF P - Z, partial and complete cds	T2PKS	PKSother	Streptomyces sp. AM-7161	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000247	BGC0000247	Streptomyces argillaceus mithramycin biosynthetic gene cluster	oligosaccharide.T2PKS	Others	Streptomyces argillaceus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000248	BGC0000248	Streptomyces arenae strain DSM 40737 scaffold23.1, whole genome shotgun sequence	T2PKS	PKSother	Streptomyces arenae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000249	BGC0000249	Streptomyces nogalater nogalamycin biosynthetic gene cluster, complete sequence		Others	Streptomyces nogalater	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000252	BGC0000252	Streptomyces griseus subsp. griseus nonactin biosynthesis gene cluster, partial sequence		Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000253	BGC0000253	Streptomyces antibioticus oviedomycin biosynthetic gene cluster, strain ATCC 11891	T2PKS	PKSother	Streptomyces antibioticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000254	BGC0000254	Streptomyces rimosus oxytetracycline gene cluster, complete sequence	T2PKS	PKSother	Streptomyces rimosus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000255	BGC0000255	Symbiont bacterium of Paederus fuscipes tRNA-Arg gene, complete sequence; MutM gene, complete cds; and pederin biosynthesis gene cluster, complete sequence	T3PKS.PKS-like	PKSother	symbiont bacterium of Paederus fuscipes Bacteria.	
BGC0000256	BGC0000256	Actinomadura hibisca strain P157-2 pradimicin biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Actinomadura hibisca	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000257	BGC0000257	Streptomyces griseoviridis DNA, includes prodigiosin biosynthetic gene cluster, strain: 2464-S5	NRPS-like.T1PKS.prodigiosin	PKS-NRP_Hybrids	Streptomyces griseoviridis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000258	BGC0000258	Serratia sp. ATCC 39006 prodigiosin biosynthesis gene cluster	prodigiosin	PKSother	Serratia sp.	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,unclassified Serratia
BGC0000259	BGC0000259	Serratia marcescens prodigiosin biosynthesis gene cluster	prodigiosin	PKSother	Serratia marcescens	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
BGC0000260	BGC0000260	Hahella chejuensis KCTC 2396 prodigiosin biosynthesis gene cluster, complete sequence	prodigiosin	PKSother	Hahella chejuensis KCTC 2396	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella
BGC0000261	BGC0000261	Streptomyces sp. R1128 biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Streptomyces sp. R1128	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000262	BGC0000262	Streptomyces sp. PGA64 silent angucycline-type gene cluster, partial sequence	butyrolactone.T2PKS.oligosaccharide	Others	Streptomyces sp. PGA64	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000263	BGC0000263	Streptomyces ravidus ravidomycin biosynthetic gene cluster, strain C23201NS3	T2PKS	PKSother	Streptomyces ravidus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000264	BGC0000264	Streptomyces resistomycificus remA-R gene cluster	T2PKS	PKSother	Streptomyces resistomycificus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces aurantiacus group
BGC0000265	BGC0000265	Streptomyces purpurascens rhodomycin gene cluster, partial sequence		Others	Streptomyces purpurascens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000266	BGC0000266	Streptomyces collinus DSM2012 rubrinomycin gene cluster, complete sequence	T2PKS	PKSother	Streptomyces collinus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000267	BGC0000267	Micromonospora sp. Tu 6368 hypothetical protein gene, partial cds; saquayamycin Z/galtamycin B gene cluster, complete sequence; and hypothetical protein genes, complete cds	oligosaccharide.T2PKS	Others	Micromonospora sp. Tu 6368	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,unclassified Micromonospora
BGC0000268	BGC0000268	Streptomyces sp. SCC 2136 deoxysugar biosynthetic gene cluster	oligosaccharide.T2PKS	Others	Streptomyces sp. SCC 2136	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000269	BGC0000269	Streptomyces sp. SF2575 SF2575 gene cluster, complete sequence	PKS-like.T2PKS	PKSother	Streptomyces sp. SF2575	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000270	BGC0000270	Streptomyces antibioticus simocyclinone biosynthetic gene cluster, partial sequence	aminocoumarin.T2PKS	Others	Streptomyces antibioticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000271	BGC0000271	Streptomyces avermitilis spore-pigment biosynthetic gene cluster	T2PKS	PKSother	Streptomyces avermitilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000272	BGC0000272	Streptomyces collinus putative spore pigment polyketide synthase gene cluster, complete sequence	T2PKS	PKSother	Streptomyces collinus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000273	BGC0000273	Streptomyces steffisburgensis cluster for steffimycin biosynthesis, strain NRRL 3193	T2PKS	PKSother	Streptomyces steffisburgensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000274	BGC0000274	Uncultured bacterium clone AZ60 transcriptional regulator gene, partial cds; hypothetical proteins, L-carnitine dehydratase, isovaleryl-CoA dehydrogenase, cellulose-binding family protein, betaine aldehyde dehydrogenase, methyltransferase, AraC family transcriptional regulator, hydrolase, short-chain dehydrogenase/reductase SDR, putative N-methyltransferase, putative phenazine biosynthesis protein EsmA1, putative phenazine biosynthesis protein EsmH1, phenazine biosynthesis protein PhzD, XRE family transcriptional regulator, hypothetical protein, TamA, 30S ribosomal protein S1, TamB, TamC, TamD, TamE, TamF, TamG, TamH, TamI, TamJ, TamK, TamL, TamM, TamN, TamO, and TamP genes, complete cds; and unknown gene	phenazine.T2PKS	Others	uncultured bacterium	Bacteria,environmental samples
BGC0000275	BGC0000275	Streptomyces glaucescens tcm operon	T2PKS	PKSother	Streptomyces glaucescens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000277	BGC0000277	Streptomyces fradiae strain T#2717 urdamycin biosynthetic gene cluster, partial sequence	oligosaccharide	Saccharides	Streptomyces fradiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000278	BGC0000278	Streptomyces fradiae strain T#2717 urdamycin biosynthetic gene cluster, partial sequence		Others	Streptomyces fradiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000279	BGC0000279	Streptomyces flavogriseus strain SIIA-A02191 xantholipin biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Streptomyces flavogriseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000280	BGC0000280	Pseudomonas fluorescens strain F113 2,4-diacetylphloroglucinol biosynthetic gene cluster, partial sequence	T3PKS	PKSother	Pseudomonas fluorescens	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000281	BGC0000281	Pseudomonas fluorescens strain 2P24 phl 2,4-DAPG gene cluster, complete sequence	T3PKS	PKSother	Pseudomonas fluorescens	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000282	BGC0000282	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome	T3PKS	PKSother	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000283	BGC0000283	Actinomyces sp. Lu 9419 putative nitrite reductase, putative chalcone synthase, putative ATPases, NocH-like protein, NikS-like protein, and TruD-like protein genes, complete cds; cetoniacytone A biosynthetic gene cluster, complete sequence; and hypothetical protein, putative UnbU protein, putative ACP, putative 3-oxoacyl-ACP synthase, putative 3-oxoacyl-ACP reductase, putative 3-oxoacyl-ACP synthase, and hypothetical protein genes, complete cds	nucleoside.amglyccycl.ladderane	Others	Actinomyces sp. Lu 9419	Bacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
BGC0000284	BGC0000284	Azotobacter vinelandii DJ, complete genome	hglE-KS.T3PKS	PKSother	Azotobacter vinelandii DJ	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter
BGC0000285	BGC0000285	Saccharopolyspora erythraea red pigment gene cluster, partial sequence	T3PKS	PKSother	Saccharopolyspora erythraea	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
BGC0000286	BGC0000286	Streptomyces sp. KO-3988 viguiepinol [3-hydroxypimara-9(11),15-diene] biosynthetic gene cluster and mevalonate gene cluster, complete cds	T3PKS	PKSother	Streptomyces sp. KO-3988	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000287	BGC0000287	Pseudomonas aeruginosa PAO1, complete genome	NRPS	NRPS	Pseudomonas aeruginosa PAO1	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000288	BGC0000288	Streptomyces sp. SANK 62799 DNA, A-503083 biosynthetic gene cluster region, complete cds	blactam.NRPS	Others	Streptomyces sp. SANK 62799	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000289	BGC0000289	Actinomadura sp. ATCC 39727 gene cluster for biosynthesis of glycopeptide antibiotic A40926, strain ATCC 39727	T3PKS.NRPS	PKS-NRP_Hybrids	Nonomuraea gerenzanensis	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
BGC0000290	BGC0000290	Streptomyces toyocaensis strain NRRL 15009 biosynthetic gene cluster A47934, complete sequence	T3PKS.NRPS	PKS-NRP_Hybrids	Streptomyces toyocaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000291	BGC0000291	Streptomyces fradiae strain NRRL18158 lipopeptide antibiotic A54145 biosynthetic gene cluster, complete sequence	NRPS-like.NRPS	NRPS	Streptomyces fradiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000292	BGC0000292	Aspergillus terreus NIH2624 scaffold_4 genomic scaffold, whole genome shotgun sequence	NRPS	NRPS	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000293	BGC0000293	Neosartorya fischeri NRRL 181 1099437636266 genomic scaffold, whole genome shotgun sequence	indole.NRPS	Others	Aspergillus fischeri NRRL 181	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Fumigati
BGC0000294	BGC0000294	Acinetobacter baumannii genes involved in acinetobactin biosynthesis and ferric complex transport, complete cds		Others	Acinetobacter baumannii	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex
BGC0000295	BGC0000295	Acinetobacter haemolyticus DNA, acinetoferrin biosynthesis gene cluster and transport genes, strain: ATCC 17906	siderophore	Others	Acinetobacter haemolyticus	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
BGC0000296	BGC0000296	Streptomyces anulatus actinomycin biosynthetic gene cluster, partial sequence	NRPS	NRPS	Streptomyces anulatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000297	BGC0000297	Planktothrix agardhii NIVA-CYA 126 aeruginoside biosynthesis gene cluster	NRPS-like.NRPS	NRPS	Planktothrix agardhii NIVA-CYA 126	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000298	BGC0000298	Microcystis aeruginosa NIES-98 aeruginosin synthetase gene cluster, complete sequence	NRPS-like.NRPS	NRPS	Microcystis aeruginosa NIES-98	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000300	BGC0000300	Streptomyces sp. AA4 genomic scaffold supercont1.1, whole genome shotgun sequence	NRPS	NRPS	Streptomyces sp. AA4	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000301	BGC0000301	Planktothrix agardhii NIVA-CYA 126/8 anabaenopeptin biosynthesis gene cluster, complete sequence	NRPS	NRPS	Planktothrix agardhii NIVA-CYA 126/8	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000302	BGC0000302	Anabaena sp. 90 anabaenopeptin biosynthesis gene cluster, complete sequence	betalactone.NRPS	Others	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena,unclassified Anabaena
BGC0000303	BGC0000303	Streptomyces refuineus subsp. thermotolerans anthramycin biosynthetic gene cluster, partial sequence	NRPS-like.NRPS	NRPS	Streptomyces refuineus subsp. thermotolerans	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000304	BGC0000304	Fusarium incarnatum apicidin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Fusarium incarnatum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium incarnatum-equiseti species complex
BGC0000305	BGC0000305	Pseudomonas sp. MIS38 orf1, arfA, arfB, arfC, orf5, orf6 genes for putative DNA binding protein, arthrofactin synthetase A, arthrofactin synthetase B, arthrofactin synthetase C, putative periplasmic protein, putative ABC transporter protein, complete and partial cds	NRPS	NRPS	Pseudomonas sp. MIS38	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000306	BGC0000306	Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS	NRPS	Streptomyces filamentosus NRRL 11379	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000307	BGC0000307	Aureobasidium pullulans strain BP-1938 aureobasidin A1 biosynthesis complex (aba1) gene, complete cds	NRPS	NRPS	Aureobasidium pullulans	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium
BGC0000308	BGC0000308	Staphylococcus aureus subsp. aureus str. JKD6008, complete genome	NRPS	NRPS	Staphylococcus aureus subsp. aureus str. JKD6008	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000309	BGC0000309	Bacillus subtilis subsp. subtilis str. 168 complete genome	NRPS	NRPS	Bacillus subtilis subsp. subtilis str. 168	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000310	BGC0000310	Bacillus licheniformis bacitracin synthetase operon, complete sequence; BacS (bacS), BcrA (bcrA), BcrB (bcrB), and BcrC (bcrC) genes, complete cds	NRPS	NRPS	Bacillus licheniformis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000311	BGC0000311	Amycolatopsis balhimycina biosynthetic gene cluster for balhimycin, strain DSM 5908	T3PKS.NRPS-like.NRPS	PKS-NRP_Hybrids	Amycolatopsis balhimycina DSM 5908	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000312	BGC0000312	Beauveria bassiana strain ATCC 7159 bassianolide biosynthetic gene locus, partial sequence	NRPS	NRPS	Beauveria bassiana	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Beauveria
BGC0000313	BGC0000313	Beauveria bassiana strain ATCC 7159 beauvericin biosynthetic gene locus, complete sequence	NRPS	NRPS	Beauveria bassiana	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Beauveria
BGC0000314	BGC0000314	Pseudoalteromonas piscicida JCM 20779 Ppis_ctg002, whole genome shotgun sequence	ladderane.NRPS	Others	Pseudoalteromonas piscicida JCM 20779	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
BGC0000315	BGC0000315	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000316	BGC0000316	Saccharothrix mutabilis subsp. capreolus capreomycin biosynthetic gene cluster, complete sequence	NRPS-like.NRPS	NRPS	Saccharothrix mutabilis subsp. capreolus	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix
BGC0000319	BGC0000319	Streptomyces clavuligerus ATCC 27064 supercont1.1 genomic scaffold, whole genome shotgun sequence	NRPS	NRPS	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000320	BGC0000320	Bacillus cereus plasmid pBCE4810 hypothetical protein, CAAX amino terminal protease, and pXO-14-like conserved protein genes, complete cds; cereulide synthetase gene cluster, complete sequence; pXO-11-like hypothetical protein, reverse transcriptase, and pXO1-10-like hypothetical protein genes, complete cds; and pXO1-8-like hypothetical protein gene, partial cds	NRPS	NRPS	Bacillus cereus	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
BGC0000321	BGC0000321	UNVERIFIED: Chaetomium virescens strain ATCC 26417 chaetocin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Achaetomiella virescens	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Achaetomiella
BGC0000322	BGC0000322	Amycolatopsis orientalis cosmid PCZA363	NRPS	NRPS	Amycolatopsis orientalis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000323	BGC0000323	Pseudomonas cichorii cichofactin biosynthesis gene cluster, complete sequence	NRPS	NRPS	Pseudomonas cichorii	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000324	BGC0000324	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000325	BGC0000325	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000326	BGC0000326	Streptomyces lavendulae complestatin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Streptomyces lavendulae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000327	BGC0000327	Streptomyces ambofaciens ATCC 23877 right chromosomal arm	NRPS	NRPS	Streptomyces ambofaciens ATCC 23877	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000328	BGC0000328	Pseudomonas savastanoi pv. glycinea plasmid p4180A CmaD, CmaE, CmaA, CmaB, CmaC, CmaT, alanyl tRNA synthetase related protein, and CmaU genes, complete cds	NRPS-like	NRPS	Pseudomonas savastanoi pv. glycinea	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000329	BGC0000329	Pseudomonas corrugata strain CFBP 5454 transcriptional activator protein (pcoR), putative membrane protein (rhtB), acyl-homoserine lactone synthase (pcoI), and RfiA (rfiA) genes, complete cds; pcoABC efflux system operon, complete sequence; putative diaminobutyrate-2-oxoglutarate transaminase protein, ABC transporter protein (crpE), and membrane fusion protein (crpD) genes, complete cds; and non ribosomal peptide synthetase (crpC) gene, partial cds	hserlactone.NRPS	Others	Pseudomonas corrugata	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000330	BGC0000330	Ralstonia eutropha H16 chromosome 2	NRPS	NRPS	Cupriavidus necator H16	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
BGC0000331	BGC0000331	Planktothrix agardhii NIVA-CYA 116 cyanopeptin oci gene cluster, complete sequence	NRPS	NRPS	Planktothrix agardhii NIVA-CYA 116	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000332	BGC0000332	Microcystis sp. NIVA-CYA 172/5 cyanopeptolin synthetase gene cluster, complete sequence	NRPS	NRPS	Microcystis sp. NIVA-CYA 172/5	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000333	BGC0000333	Salinispora arenicola CNS-205, complete genome	betalactone.indole.NRPS	Others	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000334	BGC0000334	Tolypocladium inflatum strain NRRL 8044 unitig_4, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Tolypocladium inflatum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Tolypocladium
BGC0000335	BGC0000335	Cystobacter fuscus strain MCy9118 cystomanamide biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Cystobacter fuscus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Cystobacter
BGC0000336	BGC0000336	Streptomyces filamentosus strain NRRL 11379 daptomycin biosynthetic gene cluster, partial sequence	NRPS	NRPS	Streptomyces filamentosus NRRL 11379	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000337	BGC0000337	Metarhizium anisopliae ARSEF 23 unplaced genomic scaffold Scf_050, whole genome shotgun sequence	NRPS	NRPS	Metarhizium robertsii ARSEF 23	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,mitosporic Clavicipitaceae,Metarhizium
BGC0000339	BGC0000339	Streptomyces lasaliensis gene cluster(ecm1, ecm2, ecm3, ecm4, ecm5, ecm6, ecm7, ecm8, ecm9, ecm10, ecm11, ecm12, ecm13, ecm14, ecm15, ecm16, ecm17, ecm18), complete cds	NRPS-like.NRPS	NRPS	Streptomyces lasalocidi	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000340	BGC0000340	Streptomyces sp. LZ35 echosides biosynthetic gene cluster, complete sequence	NRPS-like	NRPS	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
