Supplementary Table 4. Quality assessment and taxonomic classification of the prokaryotic Skin Microbial Genome Catalogue																	
identifier	genome_size	N50	completeness	contamination	5S_rRNA	LSU_rRNA_bacteria	SSU_rRNA_bacteria	Numb_tRNAs	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	novelty	Sample
SMGC_120	4770180	36339	98.33	0.48	95.8	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae	Known	SAMPLE_297
SMGC_121	1763748	45463	99.45	0.15	0	84.55	0	18	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus thermophilus	Known	SAMPLE_298
SMGC_122	2343151	449981	99.78	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_299
SMGC_123	1981766	110731	99.53	0.47	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Varibaculum	s__Varibaculum cambriense_B	Known	SAMPLE_306
SMGC_124	2132632	86145	98.06	1.07	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__	Known	SAMPLE_306
SMGC_125	1211334	10136	88.11	3.5	0	0	0	7	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_A	s__Peptoniphilus_A lacrimalis	Known	SAMPLE_306
SMGC_126	1861680	57985	99.78	0	0	0	50.49	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Trueperella	s__Trueperella bernardiae	Known	SAMPLE_306
SMGC_127	1552903	125812	97.09	0.7	81.51	21.13	0	20	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Ezakiellaceae	g__Ezakiella	s__	Known	SAMPLE_306
SMGC_128	1905651	45399	99.24	0	0	0	0	15	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Known	SAMPLE_306
SMGC_129	1982462	14375	91.42	0.1	0	0	46.31	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__	s__	Known	SAMPLE_306
SMGC_130	1958363	18443	85.52	1.74	0	0	0	13	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__	Known	SAMPLE_306
SMGC_131	1439999	13766	89.39	0	0	0	0	20	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Ezakiellaceae	g__Ezakiella	s__Ezakiella coagulans	Known	SAMPLE_306
SMGC_132	5048495	76271	99.48	1.14	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__	Known	SAMPLE_312
SMGC_133	5945179	150679	99.5	1.42	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E putida	Known	SAMPLE_312
SMGC_134	3148655	40885	99.66	0.31	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter ursingii	Known	SAMPLE_312
SMGC_135	3772211	9521	82.29	1.39	0	0	0	13	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas terrigena	Known	SAMPLE_327
SMGC_136	3230635	5198	57.31	1.28	0	0	0	11	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas_B	s__Comamonas_B testosteroni	Known	SAMPLE_327
SMGC_137	2865715	44610	98.66	0.19	0	0	0	16	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp900066775	Known	SAMPLE_360
SMGC_138	1785844	35575	98.1	0.79	0	0	0	20	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister	s__Dialister invisus	Known	SAMPLE_360
SMGC_139	1933425	25014	92.62	1.34	0	0	0	18	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83 sp000431575	Known	SAMPLE_360
SMGC_140	4147056	69658	99.54	0.14	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E alcaligenes	Known	SAMPLE_384
SMGC_141	2082430	1923	63.34	0.23	92.44	9.4	0	10	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	Novel	SAMPLE_403
SMGC_142	2289199	65879	97.72	0.48	0	0	0	16	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium sp001815935	Known	SAMPLE_406
SMGC_143	2205195	197981	99.45	0	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium granulosum	Known	SAMPLE_442
SMGC_144	4570962	21498	98.12	0.48	0	0	0	15	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Erwinia	s__Erwinia sp002752575	Known	SAMPLE_444
SMGC_145	5725991	36365	98.44	0.78	92.44	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E helleri	Known	SAMPLE_444
SMGC_146	1039155	6992	63.42	0.3	0	0	0	9	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Known	SAMPLE_470
SMGC_147	1744254	25082	90.13	2.71	0	0	0	7	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	Known	SAMPLE_514
SMGC_148	5071418	112510	99.33	0.3	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp002741105	Known	SAMPLE_524
SMGC_149	3027100	21401	97.35	1.37	0	0	0	13	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter soli	Known	SAMPLE_524
SMGC_150	3767222	9140	77.1	0.16	0	0	0	17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium sp001952815	Known	SAMPLE_524
SMGC_151	2195980	224405	97.53	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium massiliense	Known	SAMPLE_525
SMGC_152	3647986	27281	96.85	1.73	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__	Novel	SAMPLE_526
SMGC_153	4058622	2712	85.57	2.85	0	0	0	15	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Phormidiaceae	g__Arthrospira	s__Arthrospira maxima	Known	SAMPLE_536
SMGC_154	1592740	49487	96.74	0	0	0	0	15	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Alloiococcus	s__Alloiococcus otitis	Known	SAMPLE_544
SMGC_155	2400484	409216	96.96	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_570
SMGC_156	1247235	500630	95.89	0	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__QFNR01	s__	Known	SAMPLE_571
SMGC_157	2261911	115962	99.32	0.68	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_582
SMGC_158	4180785	233562	99.17	0	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Methyloversatilis	s__Methyloversatilis discipulorum_A	Known	SAMPLE_607
SMGC_159	2399665	18287	93.86	0.08	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__Micrococcus luteus_A	Known	SAMPLE_611
SMGC_160	3933062	12533	92.78	1.8	0	0	0	10	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter bereziniae	Known	SAMPLE_613
SMGC_161	2007602	8818	98.22	2.55	66.39	11.25	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Varibaculum	s__Varibaculum sp900106855	Known	SAMPLE_631
SMGC_162	2030804	4387	80.21	1.22	94.96	99.79	98.63	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia mucilaginosa	Known	SAMPLE_634
SMGC_163	1033315	1611	56.18	3.13	94.12	99.83	99.67	18	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	Novel	SAMPLE_641
SMGC_164	2502250	19781	97.83	1.41	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium pyruviciproducens	Known	SAMPLE_657
SMGC_165	2101175	10062	94.95	2.45	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia radingae	Known	SAMPLE_657
SMGC_166	1625903	3123	68.52	1.5	0	0	0	9	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella corporis	Known	SAMPLE_658
SMGC_167	1748060	6471	91.48	2.09	0	0	0	18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__	Novel	SAMPLE_660
SMGC_168	3054404	5236	73.15	3.19	0	0	0	12	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium glyciniphilum	Known	SAMPLE_663
SMGC_169	2784097	17338	89.52	0.9	0	0	0	14	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium variabile	Known	SAMPLE_663
SMGC_170	2796435	32798	99.71	0.1	94.96	99.59	71.82	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella_A	s__Moraxella_A aerosaccus	Known	SAMPLE_665
SMGC_171	2720772	42627	99.45	0.55	0	87.59	99.67	8	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus simulans	Known	SAMPLE_670
SMGC_172	1016114	1567	54.66	2.02	0	0	0	10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes putredinis	Known	SAMPLE_672
SMGC_173	2326926	7859	92.66	1.21	0	0	0	19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__RC9	s__RC9 sp000431015	Known	SAMPLE_672
SMGC_174	1184028	2101	56.54	2.35	0	0	0	14	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp003525075	Known	SAMPLE_672
SMGC_175	2649867	10183	95.21	2.04	0	0	0	15	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp003476825	Known	SAMPLE_672
SMGC_176	2597977	3786	87.97	4.31	94.12	0	0	16	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__UBA11524	s__UBA11524 sp000437595	Known	SAMPLE_672
SMGC_177	2558590	18450	98.11	2.3	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_673
SMGC_178	1563496	1804	54.52	0.94	94.96	5.64	0	12	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium vitaeruminis_A	Known	SAMPLE_673
SMGC_179	1309826	9785	77.31	2.73	92.44	0	0	9	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Novel	SAMPLE_682
SMGC_180	1372053	2448	64.79	1.49	0	11.01	0	13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__	Novel	SAMPLE_683
SMGC_181	1383102	2371	72.64	2.81	0	0	0	14	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__Neisseria cinerea	Known	SAMPLE_683
SMGC_182	2118906	35441	98.35	0.04	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium ureicelerivorans	Known	SAMPLE_685
SMGC_183	1972145	33032	96.1	0.63	0	0	59.95	19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas sp001808555	Known	SAMPLE_701
SMGC_184	3042170	17485	97.59	0.52	0	0	35.09	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces viscosus	Known	SAMPLE_703
SMGC_185	996769	1577	50.56	3.05	0	0	0	5	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	Novel	SAMPLE_709
SMGC_186	2852530	4640	80.11	2.89	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Dietzia	s__Dietzia maris	Known	SAMPLE_735
SMGC_187	3140371	19638	97.84	1.82	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas nasdae	Known	SAMPLE_741
SMGC_188	1223916	1834	66.8	3.29	0	99.28	0	14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__	Novel	SAMPLE_748
SMGC_189	4017166	4551	82.81	1.41	93.28	10.84	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Gordonia jacobaea	Known	SAMPLE_751
SMGC_190	1279013	6735	56.5	3.61	0	0	0	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	Novel	SAMPLE_764
SMGC_191	1253025	2202	74.88	2.24	0	0	0	13	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Aggregatibacter	s__Aggregatibacter sp000466335	Known	SAMPLE_764
SMGC_192	2904118	2090	76.46	3.1	95.8	99.83	79.58	14	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea_B	s__Pantoea_B calida	Known	SAMPLE_772
SMGC_193	1964354	1804	59.84	2.69	0	38.22	0	9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter nosocomialis	Known	SAMPLE_772
SMGC_194	1106926	1768	53.25	1.8	0	0	0	10	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__Neisseria sp000186165	Known	SAMPLE_777
SMGC_195	4140630	13742	97.36	0.69	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Gordonia paraffinivorans	Known	SAMPLE_783
SMGC_196	6115950	31175	70.53	0.47	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	Known	SAMPLE_818
SMGC_197	2186552	43639	99.12	0.17	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium appendicis	Known	SAMPLE_821
SMGC_198	1141609	5123	62.33	0.14	0	0	0	9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__Moraxella catarrhalis	Known	SAMPLE_826
SMGC_199	2067579	67393	95.81	0.73	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Pseudoglutamicibacter	s__Pseudoglutamicibacter cumminsii	Known	SAMPLE_827
SMGC_200	1602055	9450	87.2	0.35	0	0	0	10	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	Novel	SAMPLE_829
SMGC_201	2195757	16077	93.44	0.67	0	99.45	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia mucilaginosa	Known	SAMPLE_832
SMGC_202	1602704	40959	97.2	0	0	0	0	20	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_C	s__Peptoniphilus_C coxii	Known	SAMPLE_836
SMGC_203	1410835	6270	70.61	1.1	0	0	0	16	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Varibaculum	s__Varibaculum cambriense	Known	SAMPLE_836
SMGC_204	2859184	59581	99.29	0	94.96	0	0	19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella timonensis	Known	SAMPLE_836
SMGC_205	1498564	11423	84.44	0.73	0	0	0	10	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus delbrueckii	Known	SAMPLE_837
SMGC_206	2601530	11732	95.2	2.6	0	0	0	16	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__	Novel	SAMPLE_841
SMGC_207	3731151	20648	96.11	2.93	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001889265	Known	SAMPLE_841
SMGC_208	4392424	8240	81.94	1.3	0	0	0	16	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E chengduensis	Known	SAMPLE_843
SMGC_209	2862731	11251	92.28	1.43	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas sp003248925	Known	SAMPLE_844
SMGC_210	1470473	5578	79.5	0.53	0	0	0	11	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc mesenteroides	Known	SAMPLE_844
SMGC_211	2054147	11811	82.36	2.33	0	0	0	16	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__	Novel	SAMPLE_858
SMGC_212	2234268	18856	95.64	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium accolens	Known	SAMPLE_871
SMGC_213	2362791	68056	99.78	0.11	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_875
SMGC_214	1178560	29158	70.52	0	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium lacrimalis	Known	SAMPLE_880
SMGC_215	2072627	22917	93.6	0.89	0	99.28	99.67	18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas bennonis	Known	SAMPLE_881
SMGC_216	2212716	6244	95.95	2.56	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Conchiformibius	s__Conchiformibius steedae	Known	SAMPLE_882
SMGC_217	5743266	163919	100	0.28	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__Mycolicibacterium obuense	Known	SAMPLE_882
SMGC_218	1576827	113565	95	0.59	94.96	99.73	21.72	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Lawsonella	s__Lawsonella clevelandensis_A	Known	SAMPLE_889
SMGC_219	1446536	115645	100	2.19	0	80.38	57.4	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__QFNR01	s__QFNR01 sp003248485	Known	SAMPLE_889
SMGC_220	1289560	49144	91.77	1.33	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__QFNR01	s__	Known	SAMPLE_892
SMGC_221	1842411	10381	84.84	0.69	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__Micrococcus luteus	Known	SAMPLE_892
SMGC_222	2258307	92983	96.85	0.48	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__Moraxella nonliquefaciens	Known	SBCC_77
SMGC_223	3174818	79040	98.48	0.34	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__	Novel	SBCC_78
SMGC_224	3943859	604889	98.75	0.63	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Microvirga	s__	Novel	SBCC_79
SMGC_225	6015031	584370	99.73	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes_I	c__Bacilli_A	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_B	s__	Novel	SBCC_80
SMGC_226	2570282	561058	100	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium avidum	Known	SBCC_81
SMGC_227	4692389	506866	100	0.08	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea sp002389975	Known	SBCC_82
SMGC_228	6725856	597812	99.85	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes_I	c__Bacilli_A	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__	Novel	SBCC_83
SMGC_229	4720443	269347	98	1.86	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_B	s__Pseudomonas_B luteola	Known	SBCC_84
SMGC_230	4627867	162674	99.99	0.19	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea sp002920175	Known	SBCC_85
SMGC_231	6463713	514129	99.85	0.05	NA	NA	NA	NA	d__Bacteria	p__Firmicutes_I	c__Bacilli_A	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus sp001426865	Known	SBCC_87
SMGC_232	7223990	265577	100	0.42	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__Caballeronia zhejiangensis	Known	SBCC_88
SMGC_233	5265439	79310	100	0	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseomonas	s__	Novel	SBCC_89
SMGC_234	5088129	39212	100	0.5	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseomonas	s__Roseomonas mucosa	Known	SBCC_91
SMGC_235	2741334	321027	99.65	0.36	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus argenteus	Known	SBCC_110
SMGC_236	2702477	140382	99.81	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus caprae	Known	SBCC_124
SMGC_237	2617953	115372	98.9	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus cohnii	Known	SBCC_125
SMGC_238	1949123	320964	100	0	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus cristatus	Known	SBCC_126
SMGC_239	3709431	114028	99.51	1.78	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	Novel	SBCC_127
